,,,,,,
,Season,Stephen Curry,James Harden,Damian Lillard,Lebron James,Klay Thompson
,2013-2014,261,179,185,103,211
,2014-2015,286,177,218,116,223
,2015-2016,402,208,196,120,239
,2016-2017,324,236,229,87,276
,2017-2018,212,262,214,124,268
,2018-2019,354,265,227,149,229
,2019-2020,12,378,237,111,0
,2020-2021,337,299,270,148,241
,2021-2022,285,121,275,104,114
,2022-2023,273,25,92,161,301
